Age,Annual Income,Location Code,Marital Status,Brand Loyalty,Hours Online,Years subscribed,Gender,Education Level,City,Renew
53.0,71405.92645139436,Rural,Married,-0.024638389030855815,3.518854777811452,4.0,M,Graduate School,Kyoto,No
48.0,48978.81815804742,Urban,Single,0.2117918092184228,6.386839126827871,5.0,F,High School,Kyoto,Yes
65.0,73215.19132687883,Urban,Divorced,0.5142198605389543,5.0224522598915335,6.0,M,College,Osaka,Yes
52.0,49807.873223035094,Urban,Divorced,,8.072254009363721,9.0,M,High School,Tokyo,Yes
47.0,57254.027455795964,Rural,Married,0.30104355514556885,3.993027314913186,6.0,M,Graduate School,Kyoto,No
52.0,57046.425719285595,Urban,Married,0.6070361950415365,5.727564485726822,3.0,F,College,Kyoto,Yes
49.0,68547.1249085161,Rural,Married,-0.6116886473597258,5.0138084081429675,7.0,F,Graduate School,Tokyo,No
48.0,72368.43240821733,Rural,Single,0.7608319324436849,5.243629666905237,3.0,M,High School,Tokyo,Yes
45.0,15000.0,Urban,Divorced,0.25826991868246146,6.872270637775468,4.0,M,High School,Osaka,Yes
66.0,86990.66112284927,Rural,Single,0.4232460895557287,4.787211366276589,3.0,F,College,Osaka,Yes
50.0,80049.5379565211,Urban,Divorced,-1.3098988200203574,4.63858244529511,6.0,M,High School,Osaka,No
50.0,46473.88603833481,Urban,Divorced,-0.12457937224939394,5.2746689677821115,6.0,F,High School,Kyoto,No
40.0,38062.53665116349,Urban,Divorced,0.40571888518987215,5.883577126683624,4.0,M,High School,Osaka,Yes
43.0,40769.89795034331,Urban,Divorced,0.38600145380342943,7.359282344057492,3.0,F,College,Osaka,Yes
46.0,42602.20726946216,Urban,Single,0.6517650055249381,5.274263739827379,4.0,M,College,Tokyo,Yes
58.0,81178.84665654933,Suburban,Divorced,-0.06945911149046047,6.815694903235533,9.0,F,College,Osaka,Yes
60.0,37465.80478405598,Urban,Divorced,0.015572146650859917,7.4414650675155745,5.0,M,College,Tokyo,Yes
50.0,53390.435025003426,Urban,Single,-0.014606338671743213,7.501470236367912,,F,High School,Tokyo,Yes
,59253.605084352945,Suburban,Married,-0.6611631727095125,4.437630227368638,4.0,M,College,Osaka,No
47.0,34078.60164091845,Suburban,Single,0.1002665143330144,6.036851086846916,3.0,M,High School,Osaka,No
45.0,62590.31860674983,Rural,Divorced,-0.46727152910428327,4.606925734913032,5.0,F,Graduate School,Tokyo,No
66.0,55790.63517782668,,Married,0.5140130455896442,5.386028946628139,3.0,F,High School,Kyoto,Yes
49.0,75141.57312354802,Suburban,Single,-0.1627785438814696,6.758274513582679,9.0,F,College,Kyoto,Yes
58.0,55399.4547624667,Urban,Divorced,-0.1811448130489204,9.649986917483497,5.0,,College,Kyoto,Yes
55.0,53599.8057890056,Suburban,,-0.643297678122137,7.937657041987332,6.0,M,Graduate School,Osaka,No
45.0,53989.80955133536,Rural,Married,-1.2370170952311648,5.6456318888863715,4.0,F,Graduate School,Tokyo,No
38.0,60032.07312272966,,Married,,7.4829621389899605,7.0,M,Graduate School,Tokyo,Yes
51.0,60308.40956683809,Suburban,Married,-0.2513277266781896,7.465188589985962,7.0,M,College,Osaka,No
54.0,60514.43385499892,Rural,Divorced,0.5579981211985752,8.413560219805444,5.0,F,College,Tokyo,No
48.0,59616.619381001736,Urban,Divorced,0.47074394024135296,7.682880185246853,3.0,M,Graduate School,Osaka,Yes
47.0,71058.61517533468,Urban,Divorced,0.24462338596146707,7.213599692535951,3.0,M,High School,Osaka,Yes
35.0,37314.204930433654,Urban,Married,-0.9566509199464872,5.192115716092593,1.0,M,Graduate School,Tokyo,No
38.0,31176.46239016837,Urban,Divorced,0.14532689701848844,7.495844701748255,5.0,F,Graduate School,Tokyo,Yes
46.0,35483.41488897786,Urban,Single,0.14057480724564822,6.874962188092866,4.0,F,High School,Tokyo,Yes
43.0,35138.67855459218,Urban,Single,0.22106226937842066,6.443374545396011,3.0,M,Graduate School,Osaka,Yes
50.0,61153.264829039974,,Married,0.501369368288405,3.744441194014286,9.0,F,College,Kyoto,No
58.0,55021.647209231705,Rural,Single,-0.4724475603444612,6.667852488622141,7.0,F,High School,Tokyo,Yes
58.0,68293.40825204793,Urban,Divorced,0.2757969603038404,5.665928133662021,5.0,M,Graduate School,Kyoto,Yes
50.0,70171.30428780938,Suburban,Divorced,0.10110285316895444,7.334780672704381,5.0,M,College,Tokyo,Yes
43.0,65048.07659543692,Rural,Single,-1.0162433999682523,4.7399084978835795,5.0,M,High School,Osaka,No
56.0,67906.06244644229,Urban,Single,-0.019674637280903948,6.147954336055366,6.0,F,High School,Kyoto,Yes
48.0,67697.2168724733,Suburban,Married,0.7049533618758416,5.962653148200883,6.0,F,College,Kyoto,Yes
49.0,39977.80226419002,Urban,Divorced,0.3277237837999255,5.730294662123175,7.0,M,College,Kyoto,Yes
,50733.76236980455,Urban,Single,0.44844678451848946,6.25191926790194,7.0,F,Graduate School,Tokyo,Yes
45.0,43343.41687529173,Suburban,Divorced,0.942089215912157,5.5419320966599726,6.0,F,College,Tokyo,Yes
44.0,46794.891970056306,Urban,Divorced,0.6046001151134418,,4.0,F,Graduate School,Osaka,Yes
52.0,30646.80244667057,Rural,Married,0.11500011991128486,5.704270130376177,3.0,F,College,Kyoto,No
45.0,69036.76533555894,Urban,Divorced,0.5943275115487835,6.66516461217173,,F,Graduate School,Tokyo,Yes
55.0,68675.66742131722,Urban,Divorced,0.4567540025912553,5.53949851949916,5.0,F,Graduate School,Tokyo,Yes
59.0,61656.54453774015,Rural,Divorced,0.23309285600579502,8.201542447034392,6.0,F,Graduate School,Osaka,Yes
49.0,50810.69851767952,Rural,Married,-0.0036380767612234632,5.701827604350595,3.0,F,Graduate School,Osaka,No
65.0,55812.10901418723,Rural,Single,-0.06606699211720296,7.225372633761132,4.0,M,College,Osaka,Yes
56.0,38440.70963486565,Urban,Divorced,-0.4083385448509727,6.598628484992786,6.0,M,Graduate School,Tokyo,Yes
50.0,61847.32066558111,Rural,Married,-0.710029779601192,4.510428234545501,5.0,M,Graduate School,Osaka,No
63.0,48426.45385993222,Suburban,Married,0.5934021226593807,6.285100983840089,4.0,M,College,Kyoto,No
37.0,31124.7054426308,Urban,Divorced,0.33733414144370016,6.6804917451644386,6.0,M,High School,Kyoto,Yes
58.0,61422.73982305927,Urban,Married,0.19088709586783065,6.722366427797368,5.0,M,High School,Tokyo,Yes
54.0,70126.48485107314,Rural,Married,-0.3506221735314345,5.349045130852772,5.0,M,Graduate School,Osaka,No
47.0,43401.134467394455,Urban,Divorced,-0.16894945425974747,7.730093424617689,6.0,F,Graduate School,Kyoto,Yes
55.0,55644.578586528565,Urban,Single,0.28454882664093695,5.859285619380579,5.0,F,College,Osaka,Yes
46.0,43581.29035253749,Rural,Single,-0.03879548056145339,5.906378780776128,3.0,F,College,Tokyo,No
48.0,73234.9030736782,Rural,Divorced,-0.25848367221475244,4.8161117673690095,6.0,M,Graduate School,Osaka,No
51.0,69953.5833721941,Urban,Divorced,-0.43333735250075084,8.068944211383254,5.0,,High School,Kyoto,Yes
50.0,60760.16225240507,Urban,Divorced,0.6753399844169077,6.58302857472126,3.0,M,High School,Tokyo,Yes
34.0,66243.8859147412,Urban,Divorced,,7.481526941033872,3.0,F,College,Tokyo,Yes
48.0,55505.9901751154,Urban,Divorced,-0.2251769615522477,8.438590451378545,5.0,M,High School,Kyoto,Yes
65.0,55795.197873398545,Urban,Divorced,-0.33429744297822256,8.182296981653124,3.0,M,Graduate School,Kyoto,Yes
52.0,58801.082551861866,Rural,Married,,7.080412395324817,5.0,M,High School,Kyoto,No
46.0,61024.43301914499,Rural,Divorced,-0.6760600333493991,4.414889917492182,6.0,F,High School,Osaka,No
63.0,62427.1138176004,Urban,Single,0.36470857936002815,6.652065968076922,4.0,M,High School,Kyoto,Yes
51.0,51468.45008736225,Suburban,Divorced,0.03810986581763404,6.021520860579846,6.0,F,Graduate School,Tokyo,Yes
37.0,40348.984589246014,Suburban,Divorced,0.5940832895432112,7.550071023559496,4.0,F,Graduate School,Kyoto,Yes
40.0,45514.20503264598,Urban,Divorced,0.5497781435768757,6.347527247583924,6.0,M,High School,Osaka,Yes
57.0,47451.37628577497,Rural,Divorced,-0.18540651572468791,8.56132820342205,7.0,F,High School,Tokyo,Yes
55.0,65222.13077036225,Suburban,Divorced,0.3275310564758986,7.671816444584234,3.0,F,College,Tokyo,Yes
57.0,40341.05900607279,Rural,Divorced,-0.32129704890356475,7.6286610789348615,4.0,M,College,Kyoto,Yes
45.0,61509.94311884022,Urban,Divorced,-0.3955971623355766,8.24907115523766,3.0,F,College,Tokyo,Yes
51.0,49833.82328642251,Urban,Single,0.23948177686075833,7.035288206884583,6.0,F,High School,Tokyo,Yes
46.0,55567.265725288264,Rural,Single,0.08735900883370076,7.058166252740231,3.0,,Graduate School,Osaka,Yes
58.0,74102.38785276539,Suburban,Married,-0.22695424745839,7.626560324007303,5.0,M,Graduate School,Tokyo,No
55.0,51866.47477635144,Rural,Divorced,0.23053591163014095,4.497187245947681,7.0,M,College,Kyoto,No
58.0,55651.204817406804,Suburban,Married,0.5449007156415016,5.920515732782162,3.0,F,High School,Kyoto,No
49.0,35525.78870897883,Suburban,Married,-0.3678835253791478,7.667449489052811,5.0,M,Graduate School,Osaka,No
45.0,69650.31824922038,Urban,Single,0.3717106771609142,7.5702855549453805,6.0,M,High School,Osaka,Yes
53.0,55297.063649107644,Rural,Divorced,-0.7613311567853537,5.186769628728939,6.0,M,High School,Osaka,No
38.0,63704.0013901931,Urban,Divorced,0.30545411386816856,5.640939660188,5.0,M,College,Kyoto,Yes
52.0,80202.86628286475,Urban,Single,-0.14349972707707653,9.104887784413215,6.0,M,College,Osaka,Yes
49.0,68894.78129658631,Urban,Single,-0.03545181246135541,7.161478632406003,6.0,F,College,Kyoto,
54.0,56882.94677720511,Rural,Married,-0.15800737896971168,6.126576511615003,5.0,F,College,Osaka,No
,72875.74300239692,Rural,Divorced,0.3020589184387225,3.8033107062108815,5.0,M,Graduate School,Tokyo,No
45.0,64978.90571627888,Rural,Married,-0.23234674781734893,4.564220638287095,9.0,F,Graduate School,Osaka,No
61.0,67896.04606884554,Suburban,Single,0.3837114494778599,7.319430056248714,2.0,F,College,Osaka,Yes
50.0,67354.67942829568,Rural,Divorced,0.565290580919949,5.3624076685706745,4.0,F,College,Kyoto,No
46.0,46998.336125633956,Urban,Single,0.22914946189762492,7.057820701539171,5.0,F,High School,Tokyo,Yes
64.0,29998.37530782833,Rural,Single,-0.6357488482277581,7.576059253186705,4.0,M,Graduate School,Tokyo,Yes
55.0,63431.50889982373,Suburban,Divorced,0.2548728858585845,6.275290093683798,5.0,F,High School,Osaka,Yes
47.0,56352.557372434116,Rural,Married,-0.7037446272704355,4.979289369305587,1.0,F,College,Tokyo,No
49.0,64435.45871423013,Rural,Single,-0.12040236830737,6.304803489479307,5.0,F,Graduate School,Osaka,No
62.0,56499.77892367252,Urban,Married,0.40141045129531666,5.509456458136016,4.0,M,High School,Tokyo,Yes
51.0,78875.15902256,Urban,Divorced,-0.13430010380995847,6.864373840384161,2.0,F,College,Kyoto,
57.0,78104.57591405898,Suburban,Married,0.012519086778442018,5.286920229215333,7.0,F,College,Osaka,No
47.0,58188.8511289066,Urban,Divorced,0.2173250087356975,6.3702582084386705,6.0,F,College,Kyoto,Yes
55.0,71444.01330442053,Urban,Single,0.4110756441662808,6.11548072189631,4.0,M,Graduate School,Tokyo,Yes
50.0,58978.82796231795,Rural,Single,-0.25655522439011624,6.655579793379069,5.0,F,High School,Tokyo,No
28.0,40856.41649339338,,Divorced,0.804444964667503,5.464312258380786,5.0,F,High School,Osaka,Yes
55.0,56095.996921499165,Suburban,Single,-0.016350167062262486,7.452602850723918,7.0,M,College,Osaka,Yes
67.0,51079.51355366098,Urban,Single,0.055425901770254186,6.450217217559359,8.0,F,College,Osaka,Yes
51.0,51283.41345995031,Suburban,Married,-0.26715127301860675,6.593594076578649,6.0,M,High School,Osaka,No
57.0,29489.889969812004,Rural,Divorced,0.22422499979029326,5.835070069784264,3.0,F,College,Tokyo,No
54.0,58181.64290236628,Urban,Single,0.6477781699593148,7.017273617232962,4.0,M,College,Tokyo,Yes
50.0,60373.996067851935,Urban,Divorced,0.1430053590644679,8.584942223498995,6.0,F,High School,Tokyo,Yes
50.0,67820.59552983713,Suburban,Married,-0.7956727376230502,4.878194829770136,4.0,M,High School,Tokyo,No
57.0,43019.02696919022,Urban,Divorced,0.297633623490105,6.939158868914687,6.0,F,High School,Osaka,Yes
59.0,62887.85594079531,Urban,Single,-0.5499300680016823,8.00087821778651,6.0,F,Graduate School,Tokyo,Yes
71.0,50493.41406493178,Suburban,Divorced,-0.6447395643449941,7.899773837655104,3.0,F,High School,Kyoto,Yes
45.0,100000.0,Urban,Divorced,,7.735860461112667,6.0,M,Graduate School,Kyoto,Yes
42.0,44557.36786267584,Suburban,Married,0.29526136591294927,4.28215473274463,5.0,M,Graduate School,Osaka,No
56.0,50483.535807766806,Urban,Married,-0.15246110116029118,7.154867606172982,5.0,M,High School,Kyoto,Yes
33.0,50587.770957401335,Urban,Married,0.7746068232353557,6.680972753403178,7.0,F,College,Osaka,Yes
37.0,48481.56023360711,Suburban,Married,0.37717488740577726,7.032958464447328,4.0,M,Graduate School,,Yes
47.0,53502.091526897835,Rural,Single,0.7517655319037652,6.301300490740711,5.0,M,College,Osaka,No
45.0,56952.657213874474,Rural,Married,0.22767781639960635,4.323431623313278,4.0,M,Graduate School,Osaka,No
39.0,79076.69403924487,Urban,Divorced,0.2787909253358625,7.0995216305349595,7.0,,Graduate School,Kyoto,Yes
52.0,48322.53707767619,Suburban,Married,0.6730212230933811,5.231672025535586,3.0,M,Graduate School,Tokyo,No
47.0,58850.50414923416,,Single,0.5088136328734507,5.973562657209875,5.0,F,College,Kyoto,Yes
54.0,61461.69762103066,Rural,Married,-0.003072964391090449,7.332586042907622,3.0,M,College,Tokyo,Yes
63.0,44414.42362346207,Urban,Single,,5.366972395541993,5.0,F,College,Kyoto,Yes
72.0,55741.74598306421,Urban,Divorced,-0.11803260704276197,,5.0,F,High School,Tokyo,Yes
53.0,43377.679964557916,Suburban,Married,1.0071116010001264,5.674752485923302,7.0,M,High School,Tokyo,Yes
,62884.51396970793,Suburban,Single,0.5968170852304957,6.824246702122925,4.0,F,High School,Kyoto,Yes
40.0,50771.45166486939,Urban,Married,0.5431264192099151,7.943854029129369,6.0,F,High School,Tokyo,Yes
59.0,58774.488983024086,Suburban,Divorced,0.14007174172974873,7.338801036124513,3.0,F,Graduate School,Osaka,Yes
47.0,52351.059043196794,Suburban,Married,-0.26660620872276103,5.48035112870196,2.0,F,College,Osaka,No
45.0,67919.64627867634,Suburban,Divorced,-0.17205856867046315,5.768162173420609,6.0,F,High School,Osaka,No
65.0,50472.58141686334,Urban,Divorced,-0.5295461451917817,6.92805839006396,4.0,M,College,Osaka,Yes
56.0,67044.28985243374,Urban,Married,-0.03809610526553257,7.085400374580024,5.0,M,High School,Tokyo,Yes
61.0,22973.9300712501,Urban,Divorced,0.04760510057312964,7.282654724526041,6.0,M,College,Kyoto,Yes
62.0,69020.47957029074,Urban,Divorced,-0.2563652259264938,7.725737628274064,4.0,M,Graduate School,Kyoto,Yes
49.0,69782.34533211504,Suburban,Single,0.3744821062130241,7.182555264861458,8.0,M,Graduate School,Osaka,Yes
47.0,63921.38722989193,Rural,Divorced,-0.5207251632975125,6.076928295373259,5.0,M,High School,Osaka,No
56.0,68221.88858535065,Suburban,Divorced,0.2589715841251458,4.938171847234777,4.0,F,College,Tokyo,Yes
57.0,68015.69606235108,,Single,0.0064124350166060926,6.886503134229471,7.0,M,College,Osaka,Yes
50.0,63289.37086810288,Rural,Married,0.20850543272148137,5.317304125752402,8.0,F,High School,Kyoto,No
51.0,77192.8364362315,Suburban,Married,0.17580810981798603,4.834038231745493,5.0,F,College,Osaka,No
56.0,39134.770625206824,Suburban,Divorced,0.2621256240312549,6.533688338088571,,M,College,Osaka,Yes
49.0,58879.276537157406,Suburban,Single,-0.005609425852926286,5.804492246347981,5.0,F,High School,Osaka,No
36.0,46329.59776735584,Urban,Single,0.16163198461755782,8.079193684995778,5.0,M,Graduate School,Tokyo,Yes
42.0,61183.2914454939,Urban,Divorced,0.7872635806649264,7.461481181696674,1.0,F,High School,Osaka,Yes
46.0,50754.89267703563,Urban,Divorced,0.43134133106158545,,5.0,M,College,Kyoto,Yes
49.0,40641.71792787618,Suburban,Divorced,0.015335869608703631,8.259940709819412,7.0,M,College,Tokyo,Yes
50.0,64538.623333712254,Rural,Divorced,-0.645602184650044,8.348023304697541,6.0,M,High School,Tokyo,No
46.0,44694.486881303324,Suburban,Married,-0.2690326335664492,6.7971177825470885,2.0,F,College,Kyoto,Yes
56.0,47842.41497109621,Rural,Single,,6.083073208761627,6.0,M,Graduate School,,No
57.0,46761.30118579208,Rural,Married,0.5187074373545792,7.571113569991495,5.0,M,College,Tokyo,No
,57028.91629976621,Urban,Married,0.18094051820034432,7.46605146546754,4.0,M,College,Tokyo,Yes
50.0,78646.72655810868,Urban,Divorced,0.5017699106230931,5.5283163299597415,6.0,F,College,Tokyo,Yes
52.0,32519.822806304146,Urban,Divorced,0.35232326278015297,5.883902972414432,7.0,F,High School,Osaka,Yes
70.0,70782.25893523698,Suburban,Single,-0.5794697838036396,8.244729770705458,3.0,M,,Kyoto,Yes
40.0,63284.64999418687,Rural,Single,-0.6875737555470748,4.314553279912738,4.0,F,College,Tokyo,No
58.0,61948.76022195691,Rural,Married,-0.020848571243221328,5.800104467236811,8.0,M,College,Osaka,No
49.0,72177.6032631368,Rural,Married,0.08984676577513644,7.385496887093501,6.0,F,College,Osaka,No
44.0,42932.473464275834,Suburban,Married,0.37458427680956435,3.6469503087751463,5.0,F,College,Kyoto,No
48.0,53221.39353267789,Rural,Single,0.26085134917025843,6.415234829964446,6.0,M,High School,Kyoto,No
40.0,39915.47097760376,Urban,Divorced,1.4999999999999998,4.035349326455403,5.0,M,Graduate School,Kyoto,Yes
42.0,43106.136074148904,Urban,Single,0.6150085046893335,7.220785927294199,4.0,M,High School,Kyoto,Yes
42.0,53136.98275158903,Suburban,Single,0.009765709873520795,8.961706614709907,6.0,M,College,Kyoto,Yes
51.0,43853.96550151086,Urban,Single,0.3168784969321311,6.449543794215024,3.0,F,High School,Tokyo,Yes
35.0,79854.36101431509,Urban,Divorced,0.3513444796161558,6.800854827932666,4.0,F,Graduate School,Tokyo,Yes
66.0,58446.49827236317,Urban,Divorced,0.041940073885393336,6.12769590618694,7.0,F,Graduate School,Tokyo,Yes
47.0,77759.38248915196,Urban,Divorced,0.08563786960111108,8.30112630169743,5.0,M,College,Kyoto,Yes
55.0,66666.70375691926,Rural,Married,-0.1952735711533231,7.349807881463257,3.0,F,Graduate School,Tokyo,No
52.0,43572.45529976952,Rural,Single,-0.06773605844079217,4.760687371052354,5.0,M,Graduate School,Tokyo,No
54.0,58811.87406245909,Urban,Single,0.08778551479281124,7.256759059085721,2.0,F,College,Kyoto,Yes
46.0,42798.48283057526,Rural,Married,0.06643212924368448,4.640926246692579,3.0,F,High School,Tokyo,No
37.0,76596.14581766774,Urban,Single,0.5073141871866865,,4.0,F,High School,Tokyo,Yes
55.0,,Suburban,Single,-0.5247794498250996,5.71265070043062,4.0,F,Graduate School,Osaka,No
46.0,54664.478498183016,Rural,Divorced,-0.3247748019775138,4.093452552900079,3.0,M,College,Kyoto,No
64.0,72217.03688065754,Urban,Divorced,0.15139604192776757,5.430173960629116,5.0,F,High School,Kyoto,Yes
,83760.23535392406,Urban,Single,0.5748444142015552,6.004817550395374,2.0,F,Graduate School,Tokyo,Yes
42.0,45236.493457726996,Urban,Divorced,-0.0009530721080553278,8.128674869079996,7.0,M,College,Kyoto,Yes
64.0,50732.67972020811,Suburban,Single,-0.15663319477320534,6.919607852209989,3.0,M,Graduate School,Osaka,Yes
52.0,65341.53262964315,Suburban,Single,-0.3393563295589252,6.24368212336183,5.0,F,High School,Osaka,No
33.0,64229.794210016385,Urban,,0.8570657388112886,6.674370394935483,4.0,F,High School,Tokyo,Yes
45.0,55001.113906793136,Rural,Single,-0.11102092858114726,5.392937466499649,7.0,M,Graduate School,Tokyo,No
48.0,48473.154987541006,Suburban,Married,0.1129926383199154,2.955125775558946,7.0,M,Graduate School,Kyoto,No
49.0,77001.16913663236,Urban,Divorced,0.31762647106837866,6.971183635620172,7.0,F,College,Kyoto,Yes
33.0,68355.55847355281,Urban,Divorced,0.5668750969191335,6.347176889531984,4.0,F,College,Kyoto,Yes
42.0,62346.656562118624,Urban,Divorced,0.2771769087915147,8.272659641368044,6.0,M,High School,Tokyo,Yes
50.0,51301.324867896525,Suburban,Married,0.25274811672153386,7.669768935400343,4.0,M,,Tokyo,No
48.0,60888.29049314669,Suburban,Married,-0.4340918048388612,4.012300168316843,4.0,M,College,Tokyo,No
42.0,35951.00669751384,Urban,Single,0.24483103774722598,7.418899654158875,6.0,F,Graduate School,Kyoto,Yes
63.0,39388.96695572484,,Divorced,-0.3973202911336883,7.568602897964809,8.0,F,Graduate School,Tokyo,Yes
49.0,49206.73798523938,Urban,Divorced,0.711736233497584,4.933320756510479,5.0,M,College,Osaka,No
67.0,42547.94449645218,Suburban,Married,-0.10785334383971548,7.633897327862232,4.0,M,Graduate School,Osaka,Yes
51.0,47710.28491782625,Rural,Single,0.1367582654428783,7.127144825084829,5.0,F,High School,Osaka,No
