Age,Monthly Income,Location Code,Marital Status,Brand Loyalty,Online Activity,Years subscribed,Gender,Education Level,City,Renew
36.0,5763.859987103153,Urban,Divorced,-0.42648995225549247,5.6350044654568645,3.0,Male,Graduate School,London,Yes
42.0,6295.558124033149,Rural,Married,0.6558666068917097,8.554001381072759,5.0,Male,High School,Manchester,No
53.0,6270.61328791857,Rural,Married,0.2281674416968644,7.688348100281704,5.0,Female,College,Manchester,No
56.0,5844.241039166385,Rural,Single,0.10753871404932627,4.909670314606744,8.0,Female,College,Manchester,No
41.0,5234.523230887202,Urban,Divorced,,7.718545347263739,3.0,Female,High School,London,Yes
59.0,5058.031433529691,Suburban,Single,-0.22812378944506745,4.874311026292943,3.0,Male,High School,New Castle,No
46.0,6410.720404428259,Urban,Single,-0.19461567255051,5.267647516941819,7.0,Male,Graduate School,Manchester,No
46.0,4686.695249307897,Suburban,Divorced,-0.08456714355425379,5.84639137659679,4.0,Male,High School,Manchester,Yes
56.0,4479.8066886686875,Suburban,Divorced,0.6666718158140726,5.693716257346517,5.0,Male,High School,London,Yes
78.0,4800.263089589718,Urban,Single,-0.11385752056489051,3.0309601655173033,3.0,Female,College,London,Yes
,5025.284369658276,Suburban,Married,-1.0470924177735914,4.87273116847666,5.0,Male,College,London,Yes
50.0,7260.669264513441,Suburban,Single,0.20748816122563157,3.5286712409121934,1.0,Female,Graduate School,New Castle,Yes
55.0,5874.1219085921175,Suburban,Married,-0.049760338558912376,6.26386475072207,4.0,Male,Graduate School,Manchester,No
55.0,4213.600108137189,Urban,Divorced,0.8274499462164759,4.911982801586095,3.0,Male,High School,New Castle,Yes
50.0,7101.822692933081,Rural,Divorced,-0.5092159457125911,4.0065508076675656,4.0,Male,College,London,Yes
47.0,3408.783536610797,Suburban,Divorced,0.9695817223513923,5.160981435976156,6.0,Male,High School,Manchester,Yes
58.0,3929.935751388997,Urban,Single,-0.699316479125733,5.482577026569491,7.0,Male,High School,,Yes
41.0,5023.038279518752,Urban,Single,0.07980830353907967,4.647296727507249,5.0,Male,High School,New Castle,Yes
46.0,5595.0026143678215,Suburban,Divorced,,5.818711182895501,3.0,Female,Graduate School,Manchester,Yes
54.0,5400.404422617216,Rural,Married,0.45966766712488344,6.307464048967112,4.0,Male,College,London,No
51.0,5821.9853923063765,Suburban,Divorced,0.2199165698011968,6.648125230844066,7.0,Female,Graduate School,Manchester,
49.0,5705.39931129677,Urban,Divorced,-0.7088397992711616,4.239472697568079,4.0,Female,Graduate School,London,Yes
50.0,5851.44010082354,Urban,Single,0.12700208338570498,4.554920386387025,3.0,Male,High School,London,Yes
64.0,4180.55409637609,Urban,Divorced,0.33853105477720336,3.0793303139029873,5.0,Male,College,London,Yes
54.0,6740.310023784994,Rural,Single,-0.32406380831879705,7.628275081436791,9.0,Male,Graduate School,New Castle,No
42.0,7733.479587098162,Rural,Married,-0.6697678914717105,5.626169964723132,3.0,Female,Graduate School,New Castle,Yes
48.0,5796.965965307807,Suburban,Married,0.27830384900446703,4.7893817584222536,6.0,Male,Graduate School,Manchester,No
45.0,6883.614665948868,Urban,Single,0.38748381739612225,4.867533348979336,3.0,Female,High School,London,Yes
55.0,6455.105402839941,Suburban,Married,0.23579347445022975,7.935660428704056,4.0,Male,High School,Manchester,No
49.0,5684.565779876763,Suburban,Divorced,-0.8851649761129454,4.9208288996767005,6.0,Female,High School,New Castle,Yes
34.0,4731.605887915972,Rural,Married,1.0071907603272274,6.9829147346330345,3.0,Female,High School,Manchester,No
49.0,6395.171002363178,Suburban,Married,0.10182930544738564,7.210281168699051,5.0,Female,College,London,No
37.0,5348.109503959105,Suburban,Divorced,-1.120696364433676,5.651557390781585,4.0,Male,High School,New Castle,
58.0,5098.621085959309,Urban,Divorced,-0.5147281492873699,5.064400147282739,1.0,Male,College,London,Yes
58.0,2802.567355537792,Suburban,Single,0.27704677139692024,5.9784509730432465,6.0,Male,College,New Castle,Yes
56.0,5634.250650840974,Rural,,0.11529786802881284,5.1348216714743495,5.0,Female,Graduate School,New Castle,No
45.0,4341.018471772801,Urban,Single,-0.12035256514229614,6.070359915125366,5.0,Female,Graduate School,,Yes
47.0,5704.128898340563,Suburban,Married,0.447162571229546,6.368228401874556,3.0,Male,College,London,No
59.0,4279.091601693684,Suburban,Divorced,0.08995555742965164,5.69805407998149,4.0,Male,Graduate School,London,Yes
41.0,4934.991292627311,Urban,Divorced,-0.3648312036286844,5.449197379555995,4.0,Female,College,,Yes
47.0,6315.069526212548,Suburban,Married,0.21542113397979365,6.342753510357965,5.0,Male,High School,Manchester,No
50.0,4683.898984591638,Suburban,Single,0.7034280918952885,5.206353586992849,2.0,Male,Graduate School,London,Yes
46.0,5411.905956604431,Urban,Divorced,-0.002538440542596443,5.78968503082338,3.0,Male,College,,Yes
46.0,4210.78278734517,Urban,Single,-0.3687492267359871,5.565973727382411,5.0,Female,Graduate School,New Castle,Yes
46.0,4078.0308599258983,Urban,Single,-0.26246661032179874,5.136370348041208,6.0,Female,College,London,Yes
50.0,5416.841771568682,Rural,,0.10094040156994391,5.666698143005078,3.0,Female,High School,London,No
42.0,5875.235087365709,Rural,Married,0.6797211390414343,7.8545906528936875,3.0,Female,Graduate School,Manchester,No
45.0,5289.48453651534,Suburban,Divorced,0.11618298819108713,5.428403831480589,7.0,Male,College,New Castle,No
50.0,4569.111058188128,Urban,Divorced,-0.31089244009993955,4.508894671906649,3.0,Male,High School,New Castle,Yes
43.0,4471.573356894814,Suburban,Single,0.45319445495111477,4.4137978396002016,6.0,Female,Graduate School,London,Yes
57.0,6104.587112952486,Suburban,Single,-0.0670715401168823,4.52270821418164,3.0,Male,Graduate School,London,Yes
56.0,6376.5696555193335,Rural,Single,0.2957240570962988,6.7457487102035865,5.0,Male,College,London,No
30.0,6125.719563791453,Rural,Married,0.9061911985085465,9.423172669298587,5.0,Male,High School,New Castle,No
56.0,4234.7159561367425,Suburban,Divorced,-0.7239495176964273,3.8796847912286188,,Female,High School,London,Yes
35.0,6512.825898797311,Suburban,Single,0.10504521112067619,4.713583136210749,4.0,Female,College,New Castle,Yes
49.0,6249.288507391615,Suburban,Married,-0.36678037633204486,5.149141929553686,3.0,Male,High School,New Castle,Yes
57.0,6193.1705643217365,,,-0.27070487162622486,6.003671583563955,4.0,Male,College,New Castle,Yes
47.0,5755.643035643958,Suburban,Divorced,0.5581562199428138,4.398730703336863,3.0,Female,High School,Manchester,Yes
55.0,3816.6803927258597,Urban,Single,0.19040321352619152,4.9239880592723955,6.0,Male,High School,London,Yes
47.0,5405.16154326525,Urban,Divorced,-0.09730506051100712,5.518084103702304,5.0,Female,High School,London,Yes
57.0,5121.894987452831,Urban,Married,,3.1001040483348605,4.0,Male,High School,New Castle,Yes
46.0,7715.621233480207,Rural,Single,0.2707999868834128,8.776199351786417,4.0,Female,Graduate School,London,No
62.0,6926.9039906506005,Suburban,Married,-0.5583119014348831,6.54795899022444,4.0,Female,High School,New Castle,No
53.0,5008.06020225799,Urban,Divorced,0.33968060311810244,4.397423111329914,3.0,Female,,New Castle,Yes
43.0,4175.184311750736,Suburban,Divorced,0.18203461849820302,5.015621915993527,6.0,Male,High School,London,Yes
54.0,4549.091299097281,Urban,Single,-0.38006485188211037,5.1382435931958055,5.0,Male,Graduate School,Manchester,Yes
55.0,4617.862501820712,Urban,Single,0.5298984039242512,5.026467370576827,,Female,Graduate School,London,Yes
58.0,3259.4828047851274,Urban,Single,-0.28568666274734783,4.984354320707436,5.0,Male,Graduate School,London,Yes
41.0,5391.389683442703,Suburban,Divorced,-0.010543890329674899,4.460541303312027,4.0,Female,High School,Manchester,Yes
,5752.073449315962,Suburban,Divorced,0.011197751803811995,3.6361581183121645,4.0,Male,Graduate School,New Castle,Yes
47.0,4393.8295862590385,Urban,Single,0.35206656396053726,5.668540953924842,6.0,Male,High School,London,Yes
38.0,4950.535216638531,Rural,Married,0.5700004622786594,6.1750124225059215,2.0,Male,Graduate School,Manchester,No
51.0,4294.030237568153,Rural,Single,0.7910499602333844,3.8828288883194446,3.0,Female,Graduate School,New Castle,No
59.0,3188.5109553910715,Suburban,Divorced,-0.026064037701983622,3.852608455119147,6.0,Male,High School,Manchester,
41.0,3581.9554594431183,Urban,Divorced,0.3630472122883146,4.761038671970457,5.0,Male,College,London,
57.0,5768.600520516139,Urban,Divorced,-0.7627205959450937,4.5075553028689725,4.0,Female,College,Manchester,Yes
45.0,5036.972891439416,Suburban,Divorced,0.462155001243748,5.701568742407478,5.0,Female,College,New Castle,No
69.0,4484.803088252735,Urban,Single,-0.5193291680251547,2.386372343081208,2.0,Female,Graduate School,London,Yes
57.0,5167.933916160039,Rural,Divorced,0.4922420556158651,5.889372543598225,4.0,Male,Graduate School,,
52.0,6296.220852075539,Urban,Married,0.742647740982298,5.804165610088179,3.0,Female,High School,New Castle,Yes
41.0,5749.645688380043,Rural,Married,-0.2387366697126836,4.0467011895571074,5.0,Female,,London,Yes
51.0,6034.038992811919,Suburban,Married,0.800628163327808,9.377929212662835,4.0,Male,Graduate School,Manchester,No
50.0,5214.872173683876,Suburban,Divorced,-0.38554778911084553,4.703994413607257,3.0,Male,Graduate School,Manchester,Yes
59.0,2392.2539493838176,Urban,Divorced,0.38080682097639273,5.078206792815865,6.0,Female,High School,Manchester,Yes
46.0,6618.107660952361,Rural,,0.6980111142227806,8.790708934750114,5.0,Male,Graduate School,New Castle,No
54.0,5045.04886189951,Urban,Single,-0.2370490771622467,3.3579055867478034,3.0,Male,College,London,Yes
47.0,4876.577386102287,Rural,Divorced,-0.15088698120904137,4.140417570097647,5.0,Male,College,London,No
52.0,4045.0446473275706,Suburban,Single,-0.2900518977202418,6.021879159739488,3.0,Male,High School,London,Yes
40.0,4744.28298824422,Rural,Divorced,-0.1228392249515341,3.860652720179926,5.0,Male,College,London,Yes
46.0,6869.799803407635,Suburban,Single,-0.37320043072484976,5.420738418575801,2.0,Male,High School,Manchester,Yes
53.0,5193.690830378129,Urban,Single,0.11843623937704803,3.521107680575375,3.0,Male,College,Manchester,Yes
54.0,5780.6470108534995,Urban,Single,0.12187351216243031,6.031142661586533,4.0,Male,College,New Castle,Yes
42.0,5366.399310134894,Rural,Divorced,0.5594778856476601,6.762889867218457,5.0,Male,Graduate School,Manchester,No
43.0,6221.079827973317,Suburban,Single,0.3659257909591886,5.563431292826315,3.0,Male,High School,New Castle,Yes
56.0,3267.1661192589536,Urban,Single,0.5655843994387763,4.428686426725805,5.0,Male,Graduate School,London,Yes
38.0,6474.443366861397,Suburban,Married,0.0505318745629289,6.346719926501653,8.0,Female,College,New Castle,No
39.0,3315.556331508782,Rural,Divorced,0.4534236924120612,6.782634590007323,7.0,Female,College,New Castle,Yes
49.0,7056.458275682358,Rural,Married,0.383767950773405,8.235922215803896,8.0,Male,Graduate School,London,No
36.0,4453.258923851477,Urban,Single,-0.8052429919864739,7.873448508527139,4.0,Male,College,New Castle,Yes
69.0,3851.225570282206,Urban,Single,0.37321411783409403,4.460119798723157,3.0,Male,Graduate School,Manchester,Yes
54.0,4377.638783355262,Rural,Married,0.7804299522508242,5.9599074184475676,5.0,Female,College,London,No
54.0,5179.89454567132,Suburban,Divorced,0.8388473226035504,6.227306428011882,2.0,Female,College,Manchester,No
43.0,6402.717141242753,Suburban,Divorced,0.7642607357808318,7.305456359077375,2.0,Male,Graduate School,London,No
41.0,5746.218468955596,Urban,Divorced,-0.15517464138418846,6.006385004903016,5.0,Female,Graduate School,Manchester,No
40.0,3898.8808133444927,Urban,,0.6074242862475565,5.5278612328995225,5.0,Female,College,New Castle,Yes
55.0,7531.322727733494,Rural,Divorced,-0.5082147620633318,5.898696179122893,5.0,Female,College,Manchester,No
51.0,4081.409119385625,Urban,Single,1.0516082313535953,6.745760698245075,4.0,Male,College,New Castle,Yes
44.0,4802.56868540339,Urban,Single,0.21794053111853035,6.42930488605545,4.0,Female,College,New Castle,Yes
62.0,6110.048195546477,Urban,Divorced,,4.955480555581421,3.0,Female,High School,Manchester,Yes
43.0,5412.457547982255,Urban,Single,0.8590905178718222,6.015095485812228,4.0,Male,College,New Castle,Yes
37.0,3581.2447048062068,Urban,Single,0.5139701307357532,6.486692670592127,4.0,Male,Graduate School,Manchester,
37.0,4651.496726537568,Urban,Married,0.04000556859980976,5.67084588129522,4.0,Female,High School,Manchester,Yes
34.0,5702.169610907443,Rural,Married,0.5546241128391398,7.658986734890883,4.0,Female,College,London,No
70.0,4447.0541901929855,Suburban,Married,0.10435427559070537,3.9867755197284462,5.0,Male,College,Manchester,Yes
43.0,3809.1494283721568,Urban,Single,-0.16166945314128822,6.525426855121522,6.0,Female,College,New Castle,Yes
57.0,5241.312659133416,Rural,Divorced,0.1744707586154967,5.985604348551511,3.0,Female,High School,Manchester,No
52.0,5866.508303754649,Rural,Married,0.19490875280573083,5.626350332281471,,Female,Graduate School,Manchester,No
50.0,4216.148407455337,Rural,Divorced,0.9045381599510149,4.91449705306833,4.0,Male,High School,London,Yes
48.0,4558.862236820832,Urban,Married,0.10297354266689396,5.002459399209296,4.0,Female,College,London,No
48.0,2532.695590399459,Suburban,Single,0.2895301946798389,5.535756465127007,6.0,Female,Graduate School,New Castle,Yes
44.0,4448.864734813414,Urban,Divorced,-0.19404807267323998,5.288993445770172,5.0,Female,Graduate School,New Castle,Yes
41.0,4559.541564526746,Suburban,Divorced,-0.5788277197399502,5.227889635296932,5.0,Male,College,London,Yes
47.0,5986.919802004237,Suburban,Married,0.16948253905571298,5.182695251728428,6.0,Female,Graduate School,Manchester,No
42.0,5701.907417427959,Rural,Married,0.3770001009320829,4.835606772548126,5.0,Female,High School,New Castle,No
49.0,6130.4648866158805,Rural,Married,0.8922443327987084,8.051218967415062,5.0,Male,College,London,No
47.0,6389.820782063128,Rural,Married,0.16611971580312507,7.717800297459723,5.0,Female,Graduate School,Manchester,No
61.0,4953.200664026213,Rural,Divorced,0.23235130006874471,4.609946706231658,4.0,Male,Graduate School,New Castle,Yes
51.0,4667.0333454238,Urban,Single,-0.33934938171874945,6.101117059889573,5.0,Female,Graduate School,New Castle,Yes
44.0,4631.106618983741,Rural,Married,0.6966462970489157,5.923514586510785,5.0,Male,College,London,No
50.0,5391.715603848604,Suburban,Married,-0.059570984828657136,3.813334324886822,3.0,Female,Graduate School,London,Yes
35.0,5473.438520385738,Rural,Single,0.8531766125222132,5.417429391367191,8.0,Female,College,New Castle,No
44.0,6298.9330409334125,Rural,,0.3102552415396168,7.526362721212418,5.0,Male,Graduate School,New Castle,No
32.0,5709.319651650206,Rural,Single,0.30350407178826305,6.849364033263159,4.0,Male,College,Manchester,No
43.0,5280.38050885537,Suburban,Married,0.28157653588580334,5.293124879908543,5.0,Male,College,New Castle,No
39.0,6275.70578066731,Suburban,Married,0.36860482416591506,6.902567505725233,6.0,Female,College,London,No
30.0,6219.2139310061475,Urban,Married,-0.19938367160596737,4.221853794259403,4.0,Female,College,Manchester,Yes
52.0,6942.957966780417,Urban,Divorced,-1.2909071586858474,4.408144850450665,2.0,Male,High School,New Castle,Yes
49.0,3914.479809416901,Urban,Divorced,-0.5781802659743608,5.057500453304306,5.0,Male,Graduate School,Manchester,Yes
57.0,4572.911614979941,Suburban,Divorced,0.16091626210670038,5.405879848614696,2.0,Female,High School,London,Yes
63.0,6848.181803433253,Rural,Single,0.1470147219695053,6.904584663195382,4.0,Female,College,New Castle,No
51.0,7344.433080655204,Urban,Single,-0.7778150389009496,4.2196411623636365,4.0,Male,High School,Manchester,Yes
39.0,5413.917257088622,Rural,Married,0.6091867041602426,6.7634805461339855,4.0,Male,Graduate School,Manchester,No
41.0,6549.38755606716,Rural,Married,0.5440594489366286,7.755004139063328,6.0,Male,College,New Castle,No
53.0,5228.661080599288,Suburban,Married,-0.24810222961814304,4.415195962616703,1.0,Male,Graduate School,Manchester,Yes
46.0,4420.357064490207,Urban,Single,-0.07446471672926261,5.6163882992253455,,Female,High School,New Castle,Yes
35.0,6423.624248691758,Rural,Married,0.7424497301586082,7.091951218752937,6.0,Male,High School,New Castle,No
53.0,5502.020658875136,Urban,Divorced,0.28367818400884665,7.084893886321784,3.0,Male,College,London,No
43.0,5730.911993047223,Rural,Married,0.585475092097802,6.54516832450371,4.0,Male,High School,Manchester,No
52.0,4758.268032818849,Urban,Married,-0.7397967208110399,,5.0,Female,High School,Manchester,Yes
,,Suburban,Single,-0.410974803063368,4.580051918894118,3.0,Male,College,London,Yes
54.0,6114.064919667274,Rural,Married,0.6637250737748015,6.840644787942702,6.0,Male,College,London,No
36.0,7600.555398653027,Urban,Divorced,-0.18116325817659062,4.732945336546795,4.0,Male,High School,New Castle,
49.0,3774.3507127535268,Urban,Single,-0.665816509225119,5.239286567693968,6.0,Male,College,London,Yes
38.0,4578.179491471215,Suburban,Divorced,0.18775130854010527,6.369602502878532,4.0,Female,Graduate School,London,Yes
57.0,5036.103943744629,Suburban,Single,-1.2320174027525403,5.990191033441093,5.0,Female,High School,London,Yes
49.0,5203.4123558799865,Suburban,Single,-0.30170251096531914,6.166070278366703,4.0,Female,College,Manchester,Yes
52.0,5785.6555426877185,Suburban,Married,-0.8364775495171504,4.3591408361046176,4.0,Female,,New Castle,Yes
59.0,,Urban,Married,-0.7954574249128434,5.16201525600127,5.0,Female,College,Manchester,Yes
54.0,5975.2632464772705,Urban,Divorced,0.9518707637275414,4.531695695619211,2.0,Male,High School,London,Yes
54.0,2880.0770939139206,Suburban,Divorced,0.9118099967602049,5.4992731115123545,6.0,Male,Graduate School,New Castle,Yes
57.0,4362.581741823506,Suburban,Single,0.5281554983302139,5.955424782788429,4.0,Male,High School,New Castle,Yes
37.0,5465.4406805502185,Rural,Divorced,0.7196070613509651,,6.0,Female,High School,London,No
44.0,4251.910309123903,Urban,Single,-0.10255280410015069,4.625083387567598,4.0,Male,High School,London,Yes
53.0,5111.786159219898,Urban,Married,-0.17274183410925248,6.915792501735666,5.0,Female,High School,New Castle,Yes
36.0,5594.7900948044935,Rural,Single,0.7904964505742995,7.418356180608372,5.0,Female,Graduate School,New Castle,No
54.0,6364.033407358149,Suburban,Divorced,0.09568011271303288,7.828188004478407,6.0,Male,High School,New Castle,No
38.0,6331.113948271526,Urban,Divorced,0.717998952319366,7.5703508865706794,7.0,Male,College,New Castle,No
38.0,6219.324805996947,Rural,Single,0.9681453061138469,6.710699571184993,8.0,Female,College,New Castle,No
35.0,3626.810243751609,Urban,Divorced,0.3411971531599031,5.435868618807808,5.0,Male,Graduate School,New Castle,Yes
51.0,,Rural,Single,0.23862452094671308,7.304002983626146,4.0,Male,College,New Castle,No
55.0,5221.9918332288535,Rural,Divorced,0.13419054191201765,4.271641346338926,5.0,Female,Graduate School,Manchester,No
46.0,5486.822050216912,Suburban,Married,-0.2510545078443214,2.9884849580806923,2.0,Male,,New Castle,Yes
54.0,6376.318307524627,Rural,Married,0.26419630652946713,5.751041401761162,8.0,Male,Graduate School,London,No
40.0,4877.699548711429,Rural,Married,0.6923628868431141,7.482680696101516,6.0,Female,Graduate School,New Castle,No
32.0,6149.591568929015,Suburban,Divorced,-0.059183535648741764,7.0996343883292266,5.0,Female,Graduate School,New Castle,Yes
38.0,5412.600830502487,Rural,Married,0.6211302610508631,7.38052274910973,6.0,Female,Graduate School,New Castle,No
55.0,5199.602958277503,Suburban,Married,0.6626930526397166,6.520632507572279,5.0,Female,Graduate School,Manchester,No
41.0,5796.705358355561,Urban,Single,-0.13608809899279162,6.768920625736626,5.0,Female,College,London,Yes
55.0,6734.575085436383,Rural,Married,-0.46624770461302933,6.757065289252608,7.0,Female,College,Manchester,
52.0,6576.6483424384605,Rural,Divorced,-0.033588556378921636,7.072949320605602,7.0,Female,College,New Castle,No
58.0,3267.7980494181356,Urban,Single,0.426172691532343,,6.0,Female,High School,London,Yes
43.0,5260.864675021067,Urban,Divorced,-0.40482567433869154,5.4324494197539135,5.0,Male,High School,New Castle,Yes
39.0,6415.979971141539,Rural,Single,0.44493744452640305,6.162985470171498,7.0,Female,High School,New Castle,No
37.0,6704.929342972678,Rural,Married,0.44953383642986156,7.2938754445668605,6.0,Female,College,New Castle,No
56.0,6138.116767853148,Rural,Married,0.1162563291433259,8.058509536695137,5.0,Female,High School,London,No
53.0,5458.940861546089,Rural,Single,0.07009221870349396,5.204252187713981,8.0,Male,Graduate School,New Castle,No
40.0,5440.388283870045,Rural,Single,0.9502502935853746,7.847796435152842,3.0,Female,College,New Castle,No
50.0,6315.363482128287,Suburban,Single,0.7284145052523363,8.565133300215901,5.0,Female,Graduate School,Manchester,No
49.0,5759.784006090209,Urban,Divorced,0.11734564775553942,4.478172033071356,3.0,Female,College,Manchester,Yes
45.0,5375.375580311991,Urban,,0.25043476962047895,4.729433064833505,5.0,Male,Graduate School,New Castle,Yes
40.0,5375.75760662755,Suburban,Divorced,0.304352036252865,7.073947783019909,4.0,Male,College,London,Yes
42.0,4782.204614099942,Suburban,Single,-0.19261039925618983,5.30842898140471,3.0,Male,Graduate School,London,Yes
50.0,5093.043798902339,Suburban,Divorced,-0.16125754128577385,4.562733548444866,4.0,Male,College,New Castle,Yes
41.0,4445.342212315289,Rural,Married,0.869217638063731,5.523816662050052,2.0,Female,High School,New Castle,No
51.0,5168.375528140809,Urban,Single,0.18412871009451387,4.274580709171,6.0,Male,Graduate School,Manchester,No
46.0,6331.984724548096,Rural,Married,-0.0685109724589126,6.431847033905047,4.0,Female,High School,New Castle,No
57.0,6214.284567407224,Rural,Divorced,0.13621753310013968,8.257102660423708,5.0,Female,High School,New Castle,No
43.0,5486.778441714893,Urban,Married,-0.659069864940802,6.683532440989538,8.0,Male,Graduate School,London,Yes
39.0,5667.163398235256,Urban,Divorced,-0.06657477526252945,6.689904879344315,5.0,Female,High School,New Castle,Yes
37.0,3847.441191330303,Urban,Married,1.1580451651661037,7.166900526020116,5.0,Female,High School,New Castle,Yes
59.0,6013.565858534479,Suburban,Single,-0.3390003204063643,5.434785883890346,3.0,Male,College,London,Yes
48.0,7448.364846147396,Urban,Married,0.111709540841752,6.500375603099152,3.0,Female,Graduate School,Manchester,Yes
68.0,2679.206036770605,Urban,Single,-0.579626686317923,3.971539600108523,7.0,Male,High School,Manchester,Yes
33.0,5306.917201732748,Urban,Divorced,1.2757240006651815,7.852257331055223,4.0,Male,High School,Manchester,No
50.0,4367.149847359397,Urban,Divorced,0.843785187317365,5.918770436190979,4.0,Female,College,New Castle,Yes
52.0,6149.269401146881,Rural,Married,0.743293712367766,8.392315023729845,2.0,Female,High School,Manchester,No
49.0,5798.11469636582,Rural,Married,0.04236586847436022,5.54305197260047,7.0,Female,Graduate School,Manchester,No
66.0,5334.14782304602,Suburban,Single,-0.1440760391453068,4.66539621127239,2.0,Female,Graduate School,Manchester,Yes
55.0,7145.2060455316105,Urban,Married,0.4179036253424155,6.603486188408301,7.0,Female,Graduate School,London,No
43.0,5555.471586240667,Rural,Married,0.6957357007087123,5.764006918775342,,Male,Graduate School,New Castle,No
43.0,4153.489998277023,Rural,Married,0.28406989495415974,3.96580618768051,5.0,Female,Graduate School,London,No
53.0,5107.283131050684,Rural,Married,0.6125293418492465,5.75404372326846,2.0,Female,Graduate School,New Castle,No
51.0,4325.401032574551,Rural,Married,-0.04604124727644099,6.41331560025993,6.0,Male,High School,Manchester,No
55.0,6001.213520630408,Suburban,Married,0.024285496386527605,8.044231607481835,6.0,Female,High School,Manchester,No
36.0,6759.882979042413,Urban,Single,0.8890843344151487,6.207683860879366,3.0,Male,Graduate School,London,Yes
45.0,6238.902149333062,Rural,Married,0.543042164309701,6.545620961066699,6.0,Male,High School,London,No
34.0,6401.712839251061,Urban,Married,-0.9999798585359878,4.89954938105433,3.0,Male,College,New Castle,Yes
41.0,5332.197922876492,Urban,Single,-0.4717923368993031,5.910466725771378,4.0,Male,College,London,Yes
38.0,6253.504851731079,Rural,Single,0.14333964117163575,7.291812105809222,5.0,Female,College,New Castle,No
44.0,5476.649494997752,Urban,Divorced,-0.3677620074529043,3.687875832819465,3.0,,Graduate School,New Castle,Yes
46.0,5811.865762519258,Suburban,Single,0.021417847613901655,4.759274241385268,3.0,Female,College,New Castle,Yes
55.0,4946.44576444034,Suburban,Divorced,0.8689843174279291,4.937673134406863,4.0,Female,College,Manchester,Yes
52.0,3416.5606031682573,Urban,Single,-0.8176473044129771,6.740358173705984,3.0,Male,Graduate School,London,Yes
64.0,6350.496434476888,Urban,Divorced,-0.4157473354846557,3.1593371673863624,2.0,Female,College,New Castle,Yes
54.0,2740.287161046913,Rural,Divorced,0.17527989491447685,3.313165861296384,7.0,Male,High School,Manchester,Yes
54.0,4510.9622097418915,,Divorced,0.00870189234857921,4.3133329843068156,3.0,Male,High School,London,Yes
27.0,5335.271551701382,Urban,Married,-0.007477597175698514,6.221322471762481,7.0,Female,High School,New Castle,Yes
48.0,3776.97206644593,Rural,Married,0.6529575488118529,4.625540859932068,5.0,Male,Graduate School,New Castle,No
60.0,6631.632320988698,Rural,Married,,6.428876038164144,7.0,Male,College,Manchester,No
61.0,5948.8432301038865,Suburban,Divorced,-0.734695690929497,5.154911427754325,3.0,Male,Graduate School,Manchester,Yes
44.0,5895.255658500235,Rural,Married,0.28800047405242235,7.148460275020214,7.0,Female,High School,London,No
46.0,5219.348681955114,Rural,Divorced,0.16212109627318314,5.701278067532528,7.0,Male,High School,Manchester,No
53.0,5765.587277977719,Rural,Married,0.3334027266178139,5.132483898432994,3.0,Male,High School,Manchester,No
37.0,5152.596748116328,Urban,Divorced,0.7993207556678487,,3.0,Male,College,Manchester,Yes
39.0,5457.217864481532,Urban,Single,-0.8181630237111284,6.857523308263028,5.0,Female,College,New Castle,Yes
